"Pitcher.Id","Pitcher","Bat.Side","Pitch.Type","Baseline.Action.fxwOBA","Baseline.Horz.Break","Baseline.Ind.Vert.Break","Optimal.Action.fxwOBA","Optimal.Horz.Break","Optimal.Ind.Vert.Break","Action.fxwOBA.Diff","Optimal.Latitude","Optimal.Longitude"
534910,"Hahn, Jesse","Left","CU",0.311084537152038,-13.9934495966485,-12.4907846247896,0.285838293156296,-17.7079067230225,-10.9005403518677,-0.025246243995742,-30,100
534910,"Hahn, Jesse","Right","CU",0.311670355040172,-13.4868246146611,-13.0959058063371,0.279041418638545,-17.7473297119141,-11.0319757461548,-0.0326289364016268,84,158
534910,"Hahn, Jesse","Left","FA",0.3549677106005,14.7816762924194,12.3959404627482,0.330654008516454,19.1093063354492,4.58330821990967,-0.0243137020840458,76,86
534910,"Hahn, Jesse","Right","FA",0.305481405182994,14.5753151575724,13.7581170399984,0.263933746774727,18.3047504425049,6.89075899124146,-0.0415476584082668,82,68
534910,"Hahn, Jesse","Left","SI",0.329986188601523,16.9804765286918,3.61833223829659,0.32690214938373,18.6290664672852,1.64380657672882,-0.00308403921779343,76,84
534910,"Hahn, Jesse","Right","SI",0.276822725237323,16.8868390463726,4.05978079322323,0.275193219332174,18.1933879852295,5.08859729766846,-0.00162950590514915,-90,-14
534910,"Hahn, Jesse","Left","SL",0.29444915360013,-6.88287839889526,-3.06407310962677,0.280308914743828,-13.71315574646,-1.48606061935425,-0.0141402388563025,46,-90
534910,"Hahn, Jesse","Right","SL",0.282999605664789,-10.0863846370152,-5.48948772038732,0.234851860120784,-16.9490299224854,1.94315195083618,-0.048147745544005,-44,82
534910,"Hahn, Jesse","Left","SW",0.310741965306989,-17.4250404040019,-2.16070872628027,0.295286091815235,-20.7305583953857,-0.282456666231155,-0.0154558734917538,-46,84
534910,"Hahn, Jesse","Right","SW",0.263011906289121,-18.3612730396328,-2.67713562582633,0.232760193613398,-21.3251457214355,-0.307612001895905,-0.0302517126757235,50,-96
592426,"Jackson, Luke","Left","CU",0.277175054929283,-3.76226495582367,-11.8031070566623,0.258427312885992,-2.3768949508667,-13.8373670578003,-0.0187477420432906,0,0
592426,"Jackson, Luke","Right","CU",0.309689273608928,-3.75807849566142,-12.0551898511251,0.289916578459207,-13.7050199508667,-10.4466743469238,-0.0197726951497213,40,-80
592426,"Jackson, Luke","Left","FA",0.337669255747989,5.78440686416626,18.2196195907593,0.331130594131829,5.74258661270142,18.5146007537842,-0.00653866161616051,-2,2
592426,"Jackson, Luke","Right","FA",0.32815824861271,5.54305968466012,18.3841852830804,0.328555353742186,14.8082046508789,15.3276510238647,0.000397105129476383,14,90
592426,"Jackson, Luke","Left","FC",0.331064067855931,-1.35462760925293,9.01225662231445,0.32941241132316,-1.92628061771393,8.09774208068848,-0.00165165653277155,16,162
592426,"Jackson, Luke","Right","FC",0.317602777463593,-1.85119396448135,10.4380732112461,0.311401763770937,-2.86998438835144,8.52966594696045,-0.0062010136926558,-20,-166
592426,"Jackson, Luke","Left","SL",0.251023331198505,-0.519665263571568,-5.11511795963746,0.231109852714288,0.561896800994873,-6.58259725570679,-0.0199134784842163,-4,176
592426,"Jackson, Luke","Right","SL",0.254607964888018,-0.348260906208651,-5.0866944770721,0.248548712629352,0.898303270339966,-5.90799427032471,-0.0060592522586656,2,176
592527,"Mariot, Michael","Left","CH",0.348469580234248,13.559398651123,3.83947140862376,0.329066354666365,15.0525913238525,3.30548977851868,-0.0194032255678824,-42,-180
592527,"Mariot, Michael","Right","CH",0.389225698465823,12.5630836486816,7.31692898273468,0.367294693111018,12.9290676116943,6.39267206192017,-0.0219310053548049,-22,-52
592527,"Mariot, Michael","Left","CU",0.344514185845697,-11.9147841196794,-8.15251829073979,0.329698016505114,-2.03185200691223,-9.11395359039307,-0.0148161693405831,18,154
592527,"Mariot, Michael","Right","CU",0.348748094251553,-12.5945844650269,-7.70441846637165,0.345230482066448,-15.2403688430786,-8.55106163024902,-0.00351761218510527,-44,90
592527,"Mariot, Michael","Left","FA",0.382514366583795,11.1429253206908,15.0537153637136,0.360996440834879,16.5178928375244,12.1005601882935,-0.0215179257489161,24,-82
592527,"Mariot, Michael","Right","FA",0.36680114488473,10.3497288129768,15.5418626337635,0.320951377628144,16.5856704711914,9.65918064117432,-0.0458497672565856,-20,-92
592527,"Mariot, Michael","Left","SI",0.37031103089983,13.8381492996216,10.9157403945923,0.360417153116191,16.2058620452881,8.19021415710449,-0.00989387778363826,-18,-90
592527,"Mariot, Michael","Right","SI",0.349021728093857,13.5856323055923,11.6928516030312,0.333194900574359,15.7680826187134,10.3365507125854,-0.0158268275194986,14,90
592527,"Mariot, Michael","Left","SL",0.347614748383999,-7.81857260159084,-1.06599672973688,0.33307562816351,-2.48100733757019,-5.75480461120605,-0.0145391202204891,10,-176
592527,"Mariot, Michael","Right","SL",0.333427390968571,-8.16641990993267,-1.03254967549359,0.319871395025765,-12.7385883331299,0.800519287586212,-0.0135559959428061,64,-106
596271,"Lawrence, Casey","Left","CH",0.348285431021453,16.5426022511608,1.15999861890099,0.334435732565006,18.1307830810547,2.86314558982849,-0.0138496984564471,84,-80
596271,"Lawrence, Casey","Right","CH",0.381852228202887,16.6264054900721,1.09913306565661,0.367016530533373,16.9317169189453,-0.825055658817291,-0.014835697669514,84,142
596271,"Lawrence, Casey","Left","CU",0.381068770111465,-8.67667198181152,-2.48364973068237,0.34415798085764,-15.5657377243042,5.50450801849365,-0.0369107892538259,44,-82
